step,type,amount,Amount Category,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
544,TRANSFER,179997.78,Medium,C1298652940,179997.78,0,C2071037920,-17824680.14,0,1
407,CASH_OUT,40626.73,Medium,C409120323,0,0,C986661459,283354.23,323980.96,0
383,TRANSFER,,,C1497139417,4731371.88,0,C1561724492,0,0,1
182,CASH_OUT,45445.04,Medium,C436225964,11871,0,C832647858,0,45445.04,0
567,TRANSFER,122816.67,Medium,C1014449898,122816.67,0,C1843501227,0,0,1
44,PAYMENT,1513.11,Low,C777685769,140848.27,139335.16,M328038754,0,0,0
374,TRANSFER,421916.79,Medium,C1096687157,0,0,C2130638147,39684441.87,40106358.65,0
179,CASH_OUT,294512.9,Medium,C1926897687,14377,0,C1423258204,0,294512.9,0
326,CASH_OUT,6546019,High,C1776150191,6546019,0,C562081008,1342360.08,14782044.54,1
348,CASH_OUT,188243.03,Medium,C38359743,102264.6,0,C1007458316,3122027.26,3310270.29,0
21,PAYMENT,10462.11,Medium,C703115587,555478,545015.89,M194551467,0,0,0
692,CASH_OUT,154302.88,Medium,C776474037,0,0,C1069680647,3538613.6,3692916.47,0
448,CASH_OUT,14133.69,Medium,C949838768,14133.69,0,C392215840,2634011.66,2648145.35,1
605,TRANSFER,504532.72,Medium,C1419487252,504532.72,0,C1594325681,0,0,1
143,PAYMENT,11075.99,Medium,C1154651068,118394.03,107318.04,M434530382,0,0,0
403,CASH_OUT,103883.35,Medium,C194216979,119836,15952.65,C712064340,268870.66,372754.01,0
236,CASH_OUT,31488.3,Medium,C1410732380,0,0,C566302316,344879.47,376367.77,0
310,PAYMENT,7675.49,Medium,C1139829166,185610.86,177935.37,M538304127,0,0,0
403,PAYMENT,4041.61,Medium,C1815959434,213002.06,208960.45,M651668826,-17824680.14,0,0
12,CASH_OUT,2007,Low,C1331829443,2007,0,C127509847,,250910.76,1
276,TRANSFER,1567591.24,Medium,C1295443216,1567591.24,,C1682101725,0,0,1
222,TRANSFER,1338487.47,Medium,C146036421,1338487.47,0,C423402109,0,0,1
257,CASH_IN,338821.66,Medium,C949739725,12500258.89,12839080.55,C1263149419,413490.32,74668.65,0
138,CASH_OUT,303432.45,Medium,C255761581,303432.45,0,C389495831,0,522695.73,1
159,PAYMENT,17724.71,Medium,C1155027141,0,0,M1515813454,0,0,0
