"Fraud","NonFraud","Variable"
86.4506650971533,86.4506650971533,"step"
54.2267623405452,54.2267623405452,"typeCASH_OUT"
0,0,"typeDEBIT"
22.3158923456297,22.3158923456297,"typePAYMENT"
92.752349141031,92.752349141031,"typeTRANSFER"
100,100,"amount"
9.37623267211808,9.37623267211808,"Amount.CategoryLow"
9.12144444260993,9.12144444260993,"Amount.CategoryMedium"
62.8072108850108,62.8072108850108,"oldbalanceOrg"
87.5312767202382,87.5312767202382,"newbalanceOrig"
29.2838144747087,29.2838144747087,"oldbalanceDest"
50.4141219359176,50.4141219359176,"newbalanceDest"
99.6983707843817,99.6983707843817,"balanceOrigDiff"
68.8945993543067,68.8945993543067,"balanceDestDiff"
